team,search_queries,channel_urls,notes
어노이팅,어노이팅 찬양|Anointing worship korea|어노이팅 예배캠프,https://www.youtube.com/channel/UCqZ6R9Js2HG-6ZNP71soeUg,대표 검색어 묶음 / 채널 URL 포함
마커스워십,마커스워십 찬양|MARKERS WORSHIP|마커스워십 라이브,https://www.youtube.com/channel/UCrnxDS-QclED-ej-MFxr8tA,대표 검색어 묶음 / 채널 URL 포함
피아워십,피아워십 찬양|F.I.A WORSHIP|FIA WORSHIP Korea,https://www.youtube.com/channel/UCmDCtLeqOzF7_uf_UXoNiYA,대표 검색어 묶음 / 채널 URL 포함
나비워십,나비워십 찬양|NAVI WORSHIP|나비워십 라이브,https://www.youtube.com/@naviworship,사용자 요청 포함 / 채널 URL 포함
브리지임팩트,브리지임팩트 찬양|Bridge Impact worship|브리지임팩트 라이브,https://www.youtube.com/channel/UCZQNzBSxTPjsQgZLfOb-Akg|https://www.youtube.com/@bridgeimpact_praise,대표 검색어 묶음 / 채널 URL 포함
청춘찬양단,청춘찬양단 찬양|청춘찬양단 워십|청춘찬양단 라이브|청춘찬양단 예배,https://www.youtube.com/channel/UCOtwvClqA-WPVmd6kstVAEg,사용자 요청 포함 / 채널 URL 포함
제이어스,제이어스 찬양|J-US Worship|제이어스 라이브,https://www.youtube.com/channel/UCvD9bnpjlzv2gVA_cQ1ESNg,확장 검색어 / 채널 URL 포함
위러브,위러브 찬양|WELOVE worship|위러브 라이브,https://www.youtube.com/channel/UCP7ZxuXP4w6TODC_np5Q_IA,확장 검색어 / 채널 URL 포함
아이자야씩스티원,아이자야씩스티원 찬양|Isaiah 6tyOne|아이자야61,https://www.youtube.com/channel/UCCJMY5J7tSmopE6kuRNs1Zw,확장 검색어 / 채널 URL 포함
예람워십,예람워십 찬양|Yeram Worship|예람워십 라이브,https://www.youtube.com/channel/UCWgyCh92781HaX_ue0r8Vng|https://www.youtube.com/channel/UCvm6a01Xd4A3BmComXLuMgg,확장 검색어 / 채널 URL 포함
팀룩워십,팀룩워십 찬양|Team Luke Worship|팀룩워십 라이브,https://www.youtube.com/channel/UCs8bogrlfyKhAOTywkR9o6w|https://www.youtube.com/@teamlukeworship,확장 검색어 / 채널 URL 포함
레위지파,레위지파 찬양|Levi Tribe worship|레위지파 라이브,https://www.youtube.com/channel/UCAbODSDSnpLDq_XRIAukpOg,확장 검색어 / 채널 URL 포함
예수전도단 화요모임,예수전도단 화요모임 찬양|YWAM Korea worship|화요모임 라이브,https://www.youtube.com/channel/UCn5qdSP9lz6BIl4bPwM41qg|https://www.youtube.com/channel/UCMF3UdMjZ0qIYfMlrBhXo5A,확장 검색어 / 채널 URL 포함
뉴제너레이션워십,뉴제너레이션워십 찬양|New Generation Worship Korea|뉴젠워십,https://www.youtube.com/channel/UCsBpGALUyAUY3qJZdenPgTA|https://www.youtube.com/channel/UCV-ifjSDkRQXqeEE-tJ2A3Q,확장 검색어 / 채널 URL 포함
홀리임팩트,홀리임팩트 찬양|Holy Impact worship|홀리임팩트 라이브,https://www.youtube.com/channel/UCvF7uARkFRXpcqmghQf6szA,확장 검색어 / 채널 URL 포함
다윗의장막,다윗의장막 찬양|David's Tent Korea worship|다윗의 장막,https://www.youtube.com/channel/UCZagAKqkS-DazyK5IFoTlHA|https://www.youtube.com/channel/UCmPoEZEeBcQPfz5yIIR0SMQ|https://www.youtube.com/channel/UCaTL5Hq8WdrGKibZ0qNY-LA,확장 검색어 / 채널 URL 포함
한성교회,한성교회 찬양|Hansung Church worship|한성교회 예배,https://www.youtube.com/channel/UCEo0Y1O0As5iKBAC771mkIQ|https://www.youtube.com/channel/UCvJNTgqO-X70DiOWhx8dt2Q|https://www.youtube.com/channel/UC1C0KVr0Rixdpf-TWfcuWtw,교회 예배팀 검색어 / 채널 URL 포함
온누리워십,온누리워십 찬양|Onnuri worship korea|온누리교회 찬양,https://www.youtube.com/channel/UCtncl8sHRF-w2cX1x51jSEA|https://www.youtube.com/channel/UCnLOIRt9ml4YDZGjHnPSvVg,교회 예배팀 검색어 / 채널 URL 포함
분당우리교회,분당우리교회 찬양|Woori Church worship|분당우리 찬양,https://www.youtube.com/@woorichurch|https://www.youtube.com/@woorichurchworship,교회 예배팀 검색어 / 채널 URL 포함
지구촌교회,지구촌교회 찬양|Global Mission Church Korea worship|지구촌 찬양,https://www.youtube.com/channel/UCBZb1WwKAjTP8HseLRlksoQ|https://www.youtube.com/channel/UCA5G-2tR2WGB5CQKNllW2gA|https://www.youtube.com/channel/UCZP1m1mQHyZgdRyLDTvLRqA|https://www.youtube.com/channel/UCUTS7_mnFAJI3g-sKZVS0Jg,교회 예배팀 검색어 / 채널 URL 포함
만나교회,만나교회 찬양|Manna Church worship korea|만나교회 예배,https://www.youtube.com/channel/UCF562uDvgi9B5cXpp5QBVjg|https://www.youtube.com/channel/UC0EweXMQqvbiTPYLXY0WFzA|https://www.youtube.com/channel/UCXCO1FVeIot8LFUadCc18qw,교회 예배팀 검색어 / 채널 URL 포함
아가파오 워십,아가파오 워십 찬양|아가파오워십 찬양|AGAPAO Worship Korea|아가파오 워십 라이브,https://www.youtube.com/channel/UCTYIVJxDmGCfGr-Poi617_g|https://www.youtube.com/channel/UCVG-20zhW75ieBd7SB3jlBw|https://www.youtube.com/channel/UCkX-9IT18Nn4kIO09caRnTA,사용자 요청 포함 / 채널 URL 포함
